Old typology,New typology
F037. Fuga de información técnica - Sourcemap,037. Technical information leak
F037. Fuga de información técnica - SourceMap,037. Technical information leak
F037. Fuga de información técnica - SQL,037. Technical information leak
F037. Fuga de información técnica - StackTrace,037. Technical information leak
F037. Fuga de información técnica - System.out.print,037. Technical information leak
F037. Fuga de información técnica - System.out.println,037. Technical information leak
F037. Fuga de información técnica - Tax objects,037. Technical information leak
F037. Fuga de información técnica - Versión y nombre del servidor,037. Technical information leak
F037. Fuga de información técnica - Visor Interactivo,037. Technical information leak
F037. Fuga de información técnica - Web,037. Technical information leak
F037. Fuga de información técnica - WriteLine,037. Technical information leak
F037. Fuga de información técnica -printStackTrace,037. Technical information leak
F037. Fuga de información técnica : console.log,037. Technical information leak
F037. Fuga de información técnica-console log,037. Technical information leak
F037. Fuga de información técnica: Console.log,037. Technical information leak
F037. Fuga de información técnica: Nueva App,037. Technical information leak
F037. Fuga de información técnica: Parámetros Endpoint,037. Technical information leak
F037. Fuga de información técnica: printStackTrace,037. Technical information leak
"F037. Fuga de información técnica: printStackTrace, console.log",037. Technical information leak
F037. Fuga de información técnica: Stack trace,037. Technical information leak
F037. Technical information - SourceMap,037. Technical information leak
F037. Technical information leak,037. Technical information leak
F037. Technical Information Leak,037. Technical information leak
F037. Technical information leak - console.log,037. Technical information leak
F037. Technical Information Leak - Web Server,037. Technical information leak
F037. Technical Information Leak: GraphQL API,037. Technical information leak
F038. Business information leak,038. Business information leak
F038. Business information leak - Assigned groups,038. Business information leak
F038. Business information leak - JWT,038. Business information leak
F038. Business Information Leak - Labor Rate Files,038. Business information leak
F038. Business information leak - Token,038. Business information leak
F038. Business Information Leak: Cross-Site Leak - Frame Counting,038. Business information leak
F038. Business information leak: Evidence cache,038. Business information leak
F038. Fuga de información de negocio,038. Business information leak
F038. Fuga de información de negocio -  Consulta masiva,038. Business information leak
F038. Fuga de información de negocio - Azure AD,038. Business information leak
F038. Fuga de información de negocio - Citas,038. Business information leak
F038. Fuga de información de negocio - Cloudant DB,038. Business information leak
F038. Fuga de información de negocio - Código fuente,038. Business information leak
F038. Fuga de información de negocio - Código QR,038. Business information leak
F038. Fuga de información de negocio - Console.log,037. Technical information leak
F038. Fuga de información de negocio - Contraseña en HTML,038. Business information leak
F038. Fuga de información de negocio - Cookie,038. Business information leak
F038. Fuga de información de negocio - correos,038. Business information leak
F038. Fuga de información de negocio - Datos de usuarios,038. Business information leak
F038. Fuga de información de negocio - Datos empleados,038. Business information leak
F038. Fuga de información de negocio - DBA Oracle,038. Business information leak
F038. Fuga de información de negocio - Ecopetrol,038. Business information leak
F038. Fuga de información de negocio - Facturas,038. Business information leak
F038. Fuga de información de negocio - Firestore,038. Business information leak
F038. Fuga de información de negocio - Git hub,038. Business information leak
F038. Fuga de información de negocio - Git público,038. Business information leak
F038. Fuga de información de negocio - GLIA,038. Business information leak
F038. Fuga de información de negocio - info usuario,038. Business information leak
F038. Fuga de información de negocio - Inversión,038. Business information leak
F038. Fuga de información de negocio - JFROG,038. Business information leak
F038. Fuga de información de negocio - JWT,038. Business information leak
F038. Fuga de información de negocio - mobile-analytics,038. Business information leak
F038. Fuga de información de negocio - MongoDB,038. Business information leak
F038. Fuga de información de negocio - Número Celular,038. Business information leak
F038. Fuga de información de negocio - PowerBI,038. Business information leak
F038. Fuga de información de negocio - Proveedores,038. Business information leak
F038. Fuga de información de negocio - Repositorio,038. Business information leak
F038. Fuga de información de negocio - Risk Key Flow,038. Business information leak
F038. Fuga de información de negocio - Saldo insuficiente,038. Business information leak
F038. Fuga de información de negocio - Servicio Redis,038. Business information leak
F038. Fuga de información de negocio - Shared Preferences,038. Business information leak
F038. Fuga de información de negocio - Sharepoint,038. Business information leak
F038. Fuga de información de negocio - Tarjetas,038. Business information leak
F038. Fuga de información de negocio - Token,038. Business information leak
F038. Fuga de información de negocio - Token de sesión,038. Business information leak
F038. Fuga de información de negocio - UserId,038. Business information leak
F038. Fuga de información de negocio - Usernames,038. Business information leak
F038. Fuga de información de negocio - Usuarios,038. Business information leak
F038. Fuga de información de negocio - Usuarios Dominio,038. Business information leak
F038. Fuga de información de negocio - Vehículos,038. Business information leak
F038. Fuga de información de negocio - Vulnerabilidades,038. Business information leak
F038. Fuga de información de negocio -aws,038. Business information leak
F038. Fuga de información de negocio-info creditcards nube,038. Business information leak
F038. Fuga de información de negocio: Cross-Site Leak - Frame Counting,038. Business information leak
F038. Fuga de información de negocio: Usuarios de dominio,038. Business information leak
F039. Improper authorization control,039. Improper authorization control for web services
F039. Improper authorization control for web service -S3 Buckets,039. Improper authorization control for web services
F039. Improper authorization control for web services,039. Improper authorization control for web services
F039. Unauthorized use of webservices - User Edition,039. Improper authorization control for web services
F039. Use of web services without authorization,039. Improper authorization control for web services
F039. Uso de web services sin autenticación,039. Improper authorization control for web services
F039. Uso de web services sin autorización,039. Improper authorization control for web services
F039. Uso de web services sin autorización - Adaptadores,039. Improper authorization control for web services
F039. Uso de web services sin autorización - Crear usuarios,039. Improper authorization control for web services
F039. Uso de web services sin autorización - Life Coach,039. Improper authorization control for web services
F039. Uso de web services sin autorización - Liquidación de nómina,039. Improper authorization control for web services
F039. Uso de web services sin autorización - Logs,039. Improper authorization control for web services
F039. Uso de web services sin autorización - Risk Key Flow,039. Improper authorization control for web services
F040. Exposed Web Services,040. Exposed web services
F040. Web Services expuestos,040. Exposed web services
F040. Web Services expuestos - Postman collection,040. Exposed web services
F041.  Enabled default credentials,041. Enabled default credentials
FIN.S.0003. Denegación de servicio simétrica,003. Symmetric denial of service
F041. Credenciales por defecto activadas,041. Enabled default credentials
F041. Credenciales por defecto activadas - Keystore,041. Enabled default credentials
F042. Cookies generadas de forma insegura,042. Insecurely generated cookies
F042. Cookies generadas de forma insegura - APOLO,042. Insecurely generated cookies
F042. Cookies generadas de forma insegura - Session Fixation,042. Insecurely generated cookies
F042. Cookies generadas de forma insegura - Valor Aleatorio,042. Insecurely generated cookies
F042. Cookies generated in an insecure way,042. Insecurely generated cookies
F042. Insecure cookies configuration,042. Insecurely generated cookies
F042. Insecurely generated cookies,042. Insecurely generated cookies
F042. Insecurely generated cookies - Secure,042. Insecurely generated cookies
F042. Insecurely generated cookies - Session fixation,042. Insecurely generated cookies
F043.  HTTP security headers not implemented,043. Insecure or unset HTTP headers - Content-Security-Policy
F043. Cabeceras de seguridad HTTP no establecidas,043. Insecure or unset HTTP headers - Content-Security-Policy
F043. Cabeceras de seguridad HTTP no establecidas - Content-Security-Policy,043. Insecure or unset HTTP headers - Content-Security-Policy
F043. Cabeceras de seguridad HTTP no establecidas - Referrer-Policy,043. Insecure or unset HTTP headers - Content-Security-Policy
F043. Cabeceras de seguridad HTTP no establecidas - Risk Key Flow,043. Insecure or unset HTTP headers - Content-Security-Policy
F043. Cabeceras de seguridad HTTP no establecidas - Strict-Transport-Security,131. Insecure or unset HTTP headers - Strict Transport Security
F043. Cabeceras de seguridad HTTP no establecidas - X-Content-Type-Options,043. Insecure or unset HTTP headers - Content-Security-Policy
F043. Cabeceras de seguridad HTTP no establecidas - X-Frame-Options,043. Insecure or unset HTTP headers - Content-Security-Policy
F043. Cabeceras de seguridad HTTP no establecidas - X-XSS-Protection,135. Insecure or unset HTTP headers - X-XSS Protection
F043. Cabeceras de seguridad HTTP no establecidas: SOAP svc,043. Insecure or unset HTTP headers - Content-Security-Policy
F043. Cabeceras de Seguridad no Establecidas - Access Control Allow Origin,134. Insecure or unset HTTP headers - CORS
F043. Cabeceras HTTP inseguras o no establecidas,043. Insecure or unset HTTP headers - Content-Security-Policy
F043. Cabeceras HTTP inseguras o no establecidas - X-XSS Protection,135. Insecure or unset HTTP headers - X-XSS Protection
F043. Cabeceras HTTP inseguras o no establecidas  - X-XSS-Protection,135. Insecure or unset HTTP headers - X-XSS Protection
F043. Cabeceras HTTP inseguras o no establecidas - APOLO,043. Insecure or unset HTTP headers - Content-Security-Policy
F043. Cabeceras HTTP inseguras o no establecidas - Cabecera X-XSS,135. Insecure or unset HTTP headers - X-XSS Protection
F043. Cabeceras HTTP inseguras o no establecidas - Cabeceras obsoletas,043. Insecure or unset HTTP headers - Content-Security-Policy
F043. Cabeceras HTTP inseguras o no establecidas - Content-Security-Policy,043. Insecure or unset HTTP headers - Content-Security-Policy
F043. Cabeceras HTTP inseguras o no establecidas - CORS,134. Insecure or unset HTTP headers - CORS
F043. Cabeceras HTTP inseguras o no establecidas - Header Accept,043. Insecure or unset HTTP headers - Content-Security-Policy
F043. Cabeceras HTTP inseguras o no establecidas - Referrer-Policy,043. Insecure or unset HTTP headers - Content-Security-Policy
F043. Cabeceras HTTP inseguras o no establecidas - Strict-Transport-Security,131. Insecure or unset HTTP headers - Strict Transport Security
F043. Cabeceras HTTP inseguras o no establecidas - Web,043. Insecure or unset HTTP headers - Content-Security-Policy
F043. Cabeceras HTTP inseguras o no establecidas - X-Content-Type-Options,043. Insecure or unset HTTP headers - Content-Security-Policy
F043. Cabeceras HTTP inseguras o no establecidas - X-XSS-Protection,135. Insecure or unset HTTP headers - X-XSS Protection
F043. HTTP headers not established,043. Insecure or unset HTTP headers - Content-Security-Policy
F043. Improperly set HTTP headers,043. Insecure or unset HTTP headers - Content-Security-Policy
F043. Insecure or Unset HTTP Headers - Content-Security-Policy,043. Insecure or unset HTTP headers - Content-Security-Policy
F043. Insecure or Unset HTTP Headers - Referrer-Policy,043. Insecure or unset HTTP headers - Content-Security-Policy
F043. Insecure or Unset HTTP Headers - Strict-Transport-Security,131. Insecure or unset HTTP headers - Strict Transport Security
F043. Insecure or Unset HTTP Headers - X-Content-Type-Options,043. Insecure or unset HTTP headers - Content-Security-Policy
F043. Missing HTTP security headers - Content-Security-Policy,043. Insecure or unset HTTP headers - Content-Security-Policy
F043. Missing HTTP security headers - Referrer-Policy,043. Insecure or unset HTTP headers - Content-Security-Policy
F043. Missing HTTP security headers - Strict-Transport-Security,131. Insecure or unset HTTP headers - Strict Transport Security
F043. Missing HTTP security headers - X-Content-Type-Options,043. Insecure or unset HTTP headers - Content-Security-Policy
F043. Missing HTTP security headers - X-Frame-Options,043. Insecure or unset HTTP headers - Content-Security-Policy
F043. Missing HTTP security headers - X-XSS-Protection,135. Insecure or unset HTTP headers - X-XSS Protection
F043. Not established HTTP security headers.,043. Insecure or unset HTTP headers - Content-Security-Policy
F044. Métodos HTTP Inseguros Habilitados,044. Insecure HTTP methods enabled
F044. Unsafe HTTP Methods Enabled,044. Insecure HTTP methods enabled
F045. Code Injection (HTML),045. HTML code injection
F045. HTML code injection,045. HTML code injection
F045. HTML Code Injection,045. HTML code injection
F045. Inyección de código (HTML),045. HTML code injection
F045. Inyección de código (HTML) - API Búsqueda vuelos,045. HTML code injection
F045. Inyección de código (HTML) - email,045. HTML code injection
F045. Inyección de código (HTML) - Email,045. HTML code injection
F046. Ausencia de ofuscación segura,046. Missing secure obfuscation - APK
F046. Ausencia de ofuscación segura - APK,046. Missing secure obfuscation - APK
F046. Ausencia de ofuscación segura - Apolo,046. Missing secure obfuscation - APK
F046. Ausencia de ofuscación segura - Backoffice,046. Missing secure obfuscation - APK
F046. Ausencia de ofuscación segura - Código fuente,046. Missing secure obfuscation - APK
F046. Ausencia de ofuscación segura - Tarjetas,046. Missing secure obfuscation - APK
F046. Ausencia de ofuscación segura - Telemedicina,046. Missing secure obfuscation - APK
F046. Binarios no ofuscados,046. Missing secure obfuscation - APK
F046. Missing secure obfuscation,046. Missing secure obfuscation - APK
F046. Missing secure obfuscation - APK,046. Missing secure obfuscation - APK
F047. Automatic information enumeration,047. Automatic information enumeration
F047. Automatic information enumeration - finding ids,047. Automatic information enumeration
F047. Automatic information enumeration - Open ports,047. Automatic information enumeration
F047. Enumeración automática de información,047. Automatic information enumeration
F047. Enumeración automática de información - AWS,047. Automatic information enumeration
F047. Enumeración automática de información - Codigos de descuento,047. Automatic information enumeration
F047. Enumeración automática de información - Datos de Cliente,047. Automatic information enumeration
F047. Enumeración automática de información - datos de usuarios,047. Automatic information enumeration
F047. Enumeración automática de información - Directorios,047. Automatic information enumeration
F047. Enumeración automática de información - Documentos,047. Automatic information enumeration
F047. Enumeración automática de información - Información de Cuentas,047. Automatic information enumeration
F047. Enumeración automática de información - Puertos abiertos,047. Automatic information enumeration
F047. Enumeración automática de información - Servicios,047. Automatic information enumeration
F047. Enumeración automática de información - Sesiones,047. Automatic information enumeration
F047. Enumeración automática de información - Tarjetas de crédito,047. Automatic information enumeration
F047. Enumeración automática de información - Usuarios del sistema.,047. Automatic information enumeration
F047. Enumeración automática de información-Información empleados,047. Automatic information enumeration
F047. Enumeración de información,047. Automatic information enumeration
F048. Falta de detección de sistemas rooteados,048. Lack of root detection
F048. Falta de detección de sistemas rooteados: Nueva App,048. Lack of root detection
F048. Lack of root detection,048. Lack of root detection
F049. Certificados Digitales Inseguros,049. Insecure digital certificates - APK Pinning
F049. Certificados Digitales Inseguros - APK,049. Insecure digital certificates - APK Pinning
F049. Certificados digitales inseguros - Pineo en el APK,049. Insecure digital certificates - APK Pinning
F049. Certificados Digitales Inseguros - Wildcard,049. Insecure digital certificates - APK Pinning
F049. Insecure Digital Certificates,049. Insecure digital certificates - APK Pinning
F049. Insecure digital certificates - APK pinning,049. Insecure digital certificates - APK Pinning
F049. Insecure SSL Certificate,049. Insecure digital certificates - APK Pinning
F050. Claves débiles adivinadas,050. Guessed weak credentials
F050. Claves débiles adivinadas - SSH,050. Guessed weak credentials
F050. Guessed weak credentials,050. Guessed weak credentials
F050. Weak passwords discovered,050. Guessed weak credentials
F051. Claves debiles reversadas,051. Cracked weak credentials
F051. Claves débiles reversadas,051. Cracked weak credentials
F051. Reversed weak passwords,051. Cracked weak credentials
F051. Weak passwords reversed,051. Cracked weak credentials
F052.  Insecure encryption algorithm,052. Insecure encryption algorithm
F052.  Insecure encryption algorithm - SHA1,052. Insecure encryption algorithm
F052. Algoritmo de cifrado inseguro,052. Insecure encryption algorithm
F052. Algoritmo de cifrado inseguro  -  AES/CBC,052. Insecure encryption algorithm
F052. Algoritmo de cifrado inseguro  - AES,052. Insecure encryption algorithm
F052. Algoritmo de cifrado inseguro  - AES/CBC,052. Insecure encryption algorithm
F052. Algoritmo de cifrado inseguro  - AES/CBC - SHA1 - DSA,052. Insecure encryption algorithm
F052. Algoritmo de cifrado inseguro  - AES/CBC - TripleDES,052. Insecure encryption algorithm
F052. Algoritmo de cifrado inseguro  - AES/ECB,052. Insecure encryption algorithm
F052. Algoritmo de cifrado inseguro  - CBC,052. Insecure encryption algorithm
F052. Algoritmo de cifrado inseguro  - DES,052. Insecure encryption algorithm
F052. Algoritmo de cifrado inseguro  - DES - MD5,052. Insecure encryption algorithm
F052. Algoritmo de cifrado inseguro  - DSA,052. Insecure encryption algorithm
F052. Algoritmo de cifrado inseguro  - Rijndael/ECB,052. Insecure encryption algorithm
F052. Algoritmo de cifrado inseguro  - SHA1,052. Insecure encryption algorithm
F052. Algoritmo de cifrado inseguro  AES/CBC - SHA1,052. Insecure encryption algorithm
F052. Algoritmo de cifrado inseguro -  AES/CBC,052. Insecure encryption algorithm
F052. Algoritmo de cifrado inseguro -  AES/CBC - APOLO,052. Insecure encryption algorithm
F052. Algoritmo de cifrado inseguro -  AES/CBC - SHA1,052. Insecure encryption algorithm
F052. Algoritmo de cifrado inseguro -  CBC not random IV,052. Insecure encryption algorithm
F052. Algoritmo de cifrado inseguro -  TripleDES - MD5,052. Insecure encryption algorithm
F052. Algoritmo de cifrado inseguro - AES,052. Insecure encryption algorithm
F052. Algoritmo de cifrado inseguro - AES/CBC,052. Insecure encryption algorithm
F052. Algoritmo de cifrado inseguro - AES/CBC -  DSA - SHA1,052. Insecure encryption algorithm
F052. Algoritmo de cifrado inseguro - AES/CBC - CAMELIA,052. Insecure encryption algorithm
F052. Algoritmo de cifrado inseguro - AES/CBC - DES,052. Insecure encryption algorithm
F052. Algoritmo de cifrado inseguro - AES/CBC - DSA  - SHA1,052. Insecure encryption algorithm
F052. Algoritmo de cifrado inseguro - AES/CBC - DSA - SHA1,052. Insecure encryption algorithm
F052. Algoritmo de cifrado inseguro - AES/CBC - DSA -SHA1,052. Insecure encryption algorithm
F052. Algoritmo de cifrado inseguro - AES/CBC - SHA1,052. Insecure encryption algorithm
F052. Algoritmo de cifrado inseguro - AES/CBC - TripleDES,052. Insecure encryption algorithm
F052. Algoritmo de cifrado inseguro - AES/ECB,052. Insecure encryption algorithm
F052. Algoritmo de cifrado inseguro - Apps,052. Insecure encryption algorithm
F052. Algoritmo de cifrado inseguro - Blowfish,052. Insecure encryption algorithm
F052. Algoritmo de cifrado inseguro - CBC,052. Insecure encryption algorithm
F052. Algoritmo de cifrado inseguro - Cipher Block Chaining,052. Insecure encryption algorithm
F052. Algoritmo de cifrado inseguro - Código fuente,052. Insecure encryption algorithm
F052. Algoritmo de cifrado inseguro - contraseñas y tokens,052. Insecure encryption algorithm
F052. Algoritmo de cifrado inseguro - DES,052. Insecure encryption algorithm
F052. Algoritmo de cifrado inseguro - DES-AES/CBC,052. Insecure encryption algorithm
F052. Algoritmo de cifrado inseguro - DSA,052. Insecure encryption algorithm
F052. Algoritmo de cifrado inseguro - Firma aplicación,052. Insecure encryption algorithm
F052. Algoritmo de cifrado inseguro - Llave estática,052. Insecure encryption algorithm
F052. Algoritmo de cifrado inseguro - MD5,052. Insecure encryption algorithm
F052. Algoritmo de cifrado inseguro - Perfect Forward Secrecy,133. Insecure encryption algorithm - Perfect Forward Secrecy
F052. Algoritmo de cifrado inseguro - Rijndael/CBC - AES/CBC,052. Insecure encryption algorithm
F052. Algoritmo de cifrado inseguro - Risk Key Flow,052. Insecure encryption algorithm
F052. Algoritmo de cifrado inseguro - RSA Key,052. Insecure encryption algorithm
F052. Algoritmo de cifrado inseguro - Salt e IV estático,052. Insecure encryption algorithm
F052. Algoritmo de cifrado inseguro - Servicios SSL,052. Insecure encryption algorithm
F052. Algoritmo de cifrado inseguro - SHA1,052. Insecure encryption algorithm
F052. Algoritmo de cifrado inseguro - SHA1 - AES/CBC - DSA,052. Insecure encryption algorithm
F052. Algoritmo de cifrado inseguro - SHA1 - DSA,052. Insecure encryption algorithm
F052. Algoritmo de cifrado inseguro - SHA1/TLS1.1,052. Insecure encryption algorithm
F052. Algoritmo de cifrado inseguro - SSL,052. Insecure encryption algorithm
F052. Algoritmo de cifrado inseguro - SSL/TLS,052. Insecure encryption algorithm
F052. Algoritmo de cifrado inseguro - Tamaño de llave,052. Insecure encryption algorithm
F052. Algoritmo de cifrado inseguro - TLS,052. Insecure encryption algorithm
F052. Algoritmo de cifrado inseguro - Transport Layer Security,052. Insecure encryption algorithm
F052. Algoritmo de cifrado inseguro - TripleDES,052. Insecure encryption algorithm
F052. Algoritmo de cifrado inseguro - TripleDeS,052. Insecure encryption algorithm
F052. Algoritmo de cifrado inseguro - TRIPLEDES/ECB - MD5,052. Insecure encryption algorithm
F052. Algoritmo de cifrado inseguro - Web,052. Insecure encryption algorithm
F052. Algoritmo de cifrado inseguro -AES/CBC - AES/ECB,052. Insecure encryption algorithm
F052. Algoritmo de cifrado inseguro -credenciales,052. Insecure encryption algorithm
F052. Algoritmo de cifrado inseguro -SHA1,052. Insecure encryption algorithm
F052. Algoritmo de cifrado inseguro AES/CBC,052. Insecure encryption algorithm
F052. Algoritmo de cifrado inseguro- AES/CBC,052. Insecure encryption algorithm
F052. Algoritmo de cifrado inseguro: Blowfish,052. Insecure encryption algorithm
F052. Algoritmo de cifrado inseguro: CBC not random IV,052. Insecure encryption algorithm
F052. Insecure encryption algorithm,052. Insecure encryption algorithm
F052. Insecure encryption algorithm - AES,052. Insecure encryption algorithm
F052. Insecure encryption algorithm - AES/CBC,052. Insecure encryption algorithm
F052. Insecure encryption algorithm - AES/CBC - CAMELIA,052. Insecure encryption algorithm
F052. Insecure encryption algorithm - AES/CBC - SHA1 - DSA,052. Insecure encryption algorithm
F052. Insecure encryption algorithm - Cipher Block Chaining,052. Insecure encryption algorithm
F052. Insecure encryption algorithm - Perfect Forward Secrecy,133. Insecure encryption algorithm - Perfect Forward Secrecy
F052. Unsafe Encryption Algorithm,052. Insecure encryption algorithm
F053. Ausencia de protección contra ataques de fuerza bruta,053. Lack of protection against brute force attacks
F053. Ausencia de protección contra ataques de fuerza bruta - Cupones,053. Lack of protection against brute force attacks
F053. Ausencia de protección contra ataques de fuerza bruta - Gestión de reserva,053. Lack of protection against brute force attacks
F053. Ausencia de protección contra ataques de fuerza bruta - Historia clínica,053. Lack of protection against brute force attacks
"F053. Ausencia de protección contra ataques de fuerza bruta - Pines de seguridad,  recuperación contraseña",053. Lack of protection against brute force attacks
F053. Ausencia de protección contra ataques de fuerza bruta - Risk Key Flow,053. Lack of protection against brute force attacks
F053. Ausencia de protección contra ataques de fuerza bruta - Secuestro de cuentas,053. Lack of protection against brute force attacks
F053. Ausencia de protección contra ataques de fuerza bruta - Viajes Comfama,053. Lack of protection against brute force attacks
F053. Ausencia de protección contra ataques de fuerza bruta Nueva App,053. Lack of protection against brute force attacks
F053. Brute force attacks protection absence,053. Lack of protection against brute force attacks
FIN.S.0055. Configuración insegura del servicio - keystore,009. Sensitive information in source code
F053. Lack of protection against brute force attacks,053. Lack of protection against brute force attacks
F054. Servicios Administrativos Expuestos,054. Exposed administrative services
F054. Servicios administrativos expuestos,054. Exposed administrative services
F054. Servicios administrativos expuestos - Impresora,054. Exposed administrative services
F054. Servicios administrativos expuestos - Oracle ERP,054. Exposed administrative services
F054. Servicios administrativos expuestos - Teléfonos,054. Exposed administrative services
F055.  Insecure service configuration - ECR,055. Insecure service configuration - ADB Backups
F055. Configuración insegura - Import con Comodín,055. Insecure service configuration - ADB Backups
F055. Configuración insegura del servicio,055. Insecure service configuration - ADB Backups
F055. Configuración insegura del servicio  -  SecurityProtocolType,055. Insecure service configuration - ADB Backups
F055. Configuración insegura del servicio  - Certificados,055. Insecure service configuration - ADB Backups
F055. Configuración insegura del servicio  - CORS,134. Insecure or unset HTTP headers - CORS
F055. Configuración insegura del servicio  - p7s,055. Insecure service configuration - ADB Backups
F055. Configuración insegura del servicio -  Notificaciones,055. Insecure service configuration - ADB Backups
F055. Configuración insegura del servicio -  Salt estático,055. Insecure service configuration - ADB Backups
F055. Configuración insegura del servicio -  Validación de certificados,055. Insecure service configuration - ADB Backups
F055. Configuración insegura del servicio - Acceso físico inadecuados,055. Insecure service configuration - ADB Backups
F055. Configuración insegura del servicio - ADB Backups,055. Insecure service configuration - ADB Backups
F055. Configuración insegura del servicio - Agregar campos,055. Insecure service configuration - ADB Backups
F055. Configuración insegura del servicio - Antivirus,055. Insecure service configuration - ADB Backups
F055. Configuración insegura del servicio - APK Signature Scheme v1,055. Insecure service configuration - ADB Backups
F055. Configuración insegura del servicio - App Backup,055. Insecure service configuration - ADB Backups
F055. Configuración insegura del servicio - App Backup - Código Fuente,055. Insecure service configuration - ADB Backups
F055. Configuración insegura del servicio - AppArmor,055. Insecure service configuration - ADB Backups
F055. Configuración insegura del servicio - Archivos con información sensible,055. Insecure service configuration - ADB Backups
F055. Configuración insegura del servicio - Ausencia de Antivirus,055. Insecure service configuration - ADB Backups
F055. Configuración insegura del servicio - AWS,055. Insecure service configuration - ADB Backups
F055. Configuración insegura del servicio - AWS API Termination,055. Insecure service configuration - ADB Backups
F055. Configuración insegura del servicio - AWS ausencia de cifrado,055. Insecure service configuration - ADB Backups
F055. Configuración insegura del servicio - AWS IamInstanceProfile,055. Insecure service configuration - ADB Backups
F055. Configuración insegura del servicio - AWS S3,055. Insecure service configuration - ADB Backups
F055. Configuración insegura del servicio - AWS Security groups - CIDRs,055. Insecure service configuration - ADB Backups
F055. Configuración insegura del servicio - AWS termination protection,055. Insecure service configuration - ADB Backups
F055. Configuración insegura del servicio - AWS Versioning Configuration,055. Insecure service configuration - ADB Backups
F055. Configuración insegura del servicio - Backup,055. Insecure service configuration - ADB Backups
F055. Configuración insegura del servicio - Broadcast,055. Insecure service configuration - ADB Backups
F055. Configuración insegura del servicio - Buckets S3 sin cifrar,055. Insecure service configuration - ADB Backups
F055. Configuración insegura del servicio - Cabecera CSP,055. Insecure service configuration - ADB Backups
F055. Configuración insegura del servicio - Cabeceras de Seguridad,055. Insecure service configuration - ADB Backups
F055. Configuración insegura del servicio - Cambio de contraseña,055. Insecure service configuration - ADB Backups
F055. Configuración insegura del servicio - Cambio de token,055. Insecure service configuration - ADB Backups
F055. Configuración insegura del servicio - Cantidad de documentos,055. Insecure service configuration - ADB Backups
F055. Configuración insegura del servicio - CAPTCHA,055. Insecure service configuration - ADB Backups
F055. Configuración insegura del servicio - Captcha,055. Insecure service configuration - ADB Backups
F055. Configuración insegura del servicio - Carga de información empleados,055. Insecure service configuration - ADB Backups
F055. Configuración insegura del servicio - Cerrar sesión,055. Insecure service configuration - ADB Backups
F055. Configuración insegura del servicio - Certificados,055. Insecure service configuration - ADB Backups
F055. Configuración insegura del servicio - checkServerTrusted,055. Insecure service configuration - ADB Backups
F055. Configuración insegura del servicio - Cloud,055. Insecure service configuration - ADB Backups
F055. Configuración insegura del servicio - Cloudant DB,055. Insecure service configuration - ADB Backups
F055. Configuración insegura del servicio - Código fuente,055. Insecure service configuration - ADB Backups
F055. Configuración insegura del servicio - Consola h2,055. Insecure service configuration - ADB Backups
F055. Configuración insegura del servicio - Consulta de Instrucciones,055. Insecure service configuration - ADB Backups
F055. Configuración insegura del servicio - Contraseña sin enmascarar,055. Insecure service configuration - ADB Backups
F055. Configuración insegura del servicio - Control de tráfico,055. Insecure service configuration - ADB Backups
F055. Configuración insegura del servicio - Correos de Notificación,055. Insecure service configuration - ADB Backups
F055. Configuración insegura del servicio - CORS,134. Insecure or unset HTTP headers - CORS
F055. Configuración insegura del servicio - CSP,055. Insecure service configuration - ADB Backups
F055. Configuración insegura del servicio - Cuentas,055. Insecure service configuration - ADB Backups
F055. Configuración insegura del servicio - Cuentas inscritas,055. Insecure service configuration - ADB Backups
F055. Configuración insegura del servicio - Default Security Group,055. Insecure service configuration - ADB Backups
F055. Configuración insegura del servicio - Directorio Transversal,055. Insecure service configuration - ADB Backups
F055. Configuración insegura del servicio - DNS,055. Insecure service configuration - ADB Backups
F055. Configuración insegura del servicio - Doble Autorización,055. Insecure service configuration - ADB Backups
F055. Configuración insegura del servicio - DocumentBuilderFactory,055. Insecure service configuration - ADB Backups
F055. Configuración insegura del servicio - eeex QR,055. Insecure service configuration - ADB Backups
F055. Configuración insegura del servicio - Email Flooding,122. Email flooding
F055. Configuración insegura del servicio - Evil Twin Wifi Attack,055. Insecure service configuration - ADB Backups
F055. Configuración insegura del servicio - Exportación de servicios,055. Insecure service configuration - ADB Backups
F055. Configuración insegura del servicio - Falta de atributo en Httpverb,055. Insecure service configuration - ADB Backups
F055. Configuración insegura del servicio - Generación QR,055. Insecure service configuration - ADB Backups
F055. Configuración insegura del servicio - Google Api Key,055. Insecure service configuration - ADB Backups
F055. Configuración insegura del servicio - Header Accept,055. Insecure service configuration - ADB Backups
F055. Configuración insegura del servicio - Header Accept - Apps,055. Insecure service configuration - ADB Backups
F055. Configuración insegura del servicio - Host Header Injection,055. Insecure service configuration - ADB Backups
F055. Configuración insegura del servicio - HttpVerb,055. Insecure service configuration - ADB Backups
F055. Configuración insegura del servicio - IamInstanceProfile no establecido,055. Insecure service configuration - ADB Backups
F055. Configuración insegura del servicio - IdSesion,055. Insecure service configuration - ADB Backups
F055. Configuración insegura del servicio - Inicio de sesión AWS Cognito,055. Insecure service configuration - ADB Backups
F055. Configuración insegura del servicio - Insecure Whitelist,055. Insecure service configuration - ADB Backups
F055. Configuración insegura del servicio - Kerberoast,055. Insecure service configuration - ADB Backups
F055. Configuración insegura del servicio - KeyStore,055. Insecure service configuration - ADB Backups
